Time (s),Rotation [X axis] (degrees/s),Rotation [Y axis] (degrees/s),Rotation [Z axis] (degrees/s),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Magnetic Flux Density [X axis] (micro-Tesla),Magnetic Flux Density [Y axis] (micro-Tesla),Magnetic Flux Density [Z axis] (micro-Tesla),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),
18.593,0.0138486,-0.0500682,0.0117181,-120.586,1.02563,1.31868,0.0814041,-0.766156,9.59611,56.6348,71.6896,55.6356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
18.995,0.00958753,-0.0298279,0.0106528,-120.879,0.732605,1.12332,0.0383078,-0.751791,9.54343,58.9647,71.5103,56.845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
19.396,0.0234362,-0.0308931,0.0106528,-126.935,0.927963,1.22101,0.205904,-0.823618,9.60568,58.6062,71.5103,54.0805,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
19.797,0.0202403,-0.0351543,0.00745696,-122.735,0.830276,1.31868,0.0526732,-0.814041,9.61526,57.3516,72.4065,55.6356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
20.198,0.0159792,-0.0468723,0.0149139,-120.879,1.12332,1.12332,0.0909811,-0.804464,9.60568,58.427,71.3311,56.6722,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
20.599,0.00958753,-0.0276973,0.00958753,-121.074,0.830276,1.12332,0.110135,-0.756579,9.6009,58.6062,71.5103,57.5361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
21,0.00958753,-0.0351543,0.0117181,-130.745,0.732605,1.12332,0.0526732,-0.818829,9.6392,58.9647,71.8688,57.5361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
21.402,0.00745696,-0.0330237,0.0159792,-130.745,1.02563,1.22101,0,-0.737425,9.64399,58.6062,70.435,57.1906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
21.803,0.0117181,-0.0490029,0.0106528,-120.391,1.12332,1.22101,0.0335193,-0.766156,9.62484,58.0685,71.3311,56.3267,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
22.204,0.00319584,-0.0308931,0.00639168,-117.363,1.12332,1.02563,0.105346,-0.727848,9.60568,58.427,72.048,56.6722,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
